Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
Malaysian Airlines,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-11-17,2025-11-17,1.219526454,Direct,Airbus A320,Economy,Online Website,21131.22502,5169.683753,26300.90877,Regular,10
Cathay Pacific,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-03-16,2025-03-16,0.608638013,Direct,Airbus A320,First Class,Travel Agency,11605.39547,200,11805.39547,Regular,14
British Airways,ZYL,"Osmani International Airport, Sylhet",KUL,Kuala Lumpur International Airport,2025-12-13,2025-12-13,2.689650557,1 Stop,Boeing 787,Economy,Travel Agency,39882.49935,11982.3749,51864.87425,Winter Holidays,83
Singapore Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-30,2025-05-30,0.686053648,Direct,Airbus A320,Economy,Direct Booking,4435.60734,200,4635.60734,Regular,56
British Airways,SPD,Saidpur Airport,YYZ,Toronto Pearson International Airport,2025-04-25,2025-04-25,14.05560923,1 Stop,Airbus A350,Business,Direct Booking,59243.80615,14886.57092,74130.37707,Regular,90
IndiGo,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-06-18,2025-06-18,1.08506574,Direct,Airbus A320,Business,Travel Agency,5036.39416,200,5236.39416,Regular,70
US-Bangla Airlines,SPD,Saidpur Airport,BZL,Barisal Airport,2025-10-25,2025-10-25,1.078155488,Direct,Airbus A320,Business,Direct Booking,7397.669874,200,7597.669874,Regular,28
AirAsia,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-12-28,2025-12-28,8.880375527,1 Stop,Airbus A350,Economy,Online Website,11946.81358,7792.022037,19738.83562,Winter Holidays,12
Etihad Airways,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-07-06,2025-07-07,3.296281693,Direct,Boeing 787,Business,Travel Agency,74973.62187,17246.04328,92219.66515,Regular,23
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-04-14,2025-04-15,2.595620253,Direct,Boeing 787,First Class,Direct Booking,116951.6454,19542.74682,136494.3923,Regular,41
Gulf Air,CXB,Cox's Bazar Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-07-12,2025-07-12,2.908250273,Direct,Boeing 787,Business,Online Website,42416.10568,8362.415852,50778.52153,Regular,18
Etihad Airways,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2026-01-10,2026-01-11,8.097631764,1 Stop,Airbus A350,First Class,Travel Agency,76405.94683,17460.89202,93866.83885,Winter Holidays,48
Emirates,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-04-28,2025-04-28,1.241106695,Direct,Airbus A320,Business,Travel Agency,6809.924096,200,7009.924096,Regular,67
